B04;B03;B02;B8A;feature_key
0.107;0.1152;0.1041;0.1073;1
0.1071;0.1148;0.1036;0.1173;1
0.1097;0.1175;0.1047;0.13;1
0.114;0.1218;0.1067;0.1476;1
0.1064;0.1155;0.104;0.1073;1
0.1063;0.1148;0.1038;0.1081;1
0.1068;0.1141;0.1037;0.1062;1
0.1062;0.1138;0.1035;0.1046;1
0.1068;0.1143;0.1039;0.1052;1
0.1064;0.1136;0.104;0.1068;1
0.107;0.1147;0.1045;0.106;1
0.1071;0.1153;0.1052;0.1069;1
0.108;0.1147;0.1052;0.1065;1
0.1082;0.1149;0.1054;0.1074;1
0.1087;0.1154;0.1053;0.1089;1
0.1093;0.1165;0.1057;0.1245;1
0.1068;0.114;0.1037;0.1062;1
0.1059;0.1142;0.104;0.1066;1
0.1065;0.1139;0.1039;0.1059;1
0.1071;0.1147;0.1041;0.107;1
0.1067;0.1149;0.1036;0.1065;1
0.1073;0.1154;0.104;0.1061;1
0.1077;0.1154;0.1051;0.1081;1
0.1072;0.1146;0.1047;0.1063;1
0.1073;0.1147;0.1054;0.1056;1
0.1066;0.1156;0.1048;0.1057;1
0.108;0.1134;0.1028;0.1234;1
0.1064;0.1109;0.101;0.1235;1
0.1064;0.1118;0.102;0.1105;1
0.1074;0.1135;0.1034;0.108;1
0.1081;0.1161;0.1048;0.1067;1
0.1113;0.1213;0.108;0.1295;1
0.1081;0.1171;0.106;0.1091;1
0.1088;0.1178;0.1069;0.1073;1
0.108;0.1163;0.1051;0.1088;1
0.1102;0.1239;0.1101;0.1034;1
0.1116;0.1256;0.1108;0.1045;1
0.11;0.1185;0.1072;0.1161;1
0.1086;0.1175;0.1073;0.1074;1
0.1084;0.1173;0.1057;0.1086;1
0.1085;0.1141;0.1039;0.1311;1
0.1101;0.1235;0.1092;0.1017;1
0.1103;0.1234;0.1097;0.1019;1
0.1106;0.1234;0.1109;0.1033;1
0.1107;0.125;0.11;0.1032;1
0.11;0.1198;0.1067;0.113;1
0.109;0.118;0.1067;0.1102;1
0.1093;0.1182;0.1074;0.1092;1
0.1074;0.1144;0.1043;0.1168;1
0.1096;0.123;0.11;0.1019;1
0.1099;0.1228;0.1096;0.1018;1
0.1102;0.122;0.1091;0.1017;1
0.1098;0.1224;0.109;0.1042;1
0.1095;0.1232;0.1104;0.1019;1
0.1113;0.1256;0.1101;0.103;1
0.1101;0.1206;0.107;0.1116;1
0.1081;0.1177;0.1066;0.1073;1
0.107;0.1143;0.1048;0.1116;1
0.1118;0.1254;0.1118;0.1051;1
0.1107;0.1231;0.1102;0.1036;1
0.1095;0.1225;0.1099;0.1022;1
0.1098;0.1234;0.1098;0.1025;1
0.1101;0.1218;0.1095;0.1027;1
0.1099;0.1214;0.1082;0.1014;1
0.1098;0.1224;0.1093;0.1014;1
0.1103;0.1235;0.1096;0.1022;1
0.1098;0.1241;0.1091;0.1043;1
0.11;0.1219;0.1087;0.1061;1
0.109;0.1175;0.1065;0.1103;1
0.1094;0.1183;0.1065;0.1109;1
0.1075;0.114;0.1041;0.1117;1
0.112;0.1245;0.112;0.1042;1
0.1109;0.1236;0.111;0.1031;1
0.1108;0.1235;0.1114;0.1021;1
0.1105;0.123;0.1096;0.102;1
0.1102;0.1223;0.1095;0.1019;1
0.1102;0.1227;0.1101;0.1015;1
0.1103;0.1221;0.11;0.1017;1
0.1099;0.1209;0.1088;0.1015;1
0.1086;0.1199;0.1078;0.1019;1
0.1093;0.1199;0.1082;0.1034;1
0.1091;0.1192;0.1078;0.1048;1
0.1111;0.1211;0.1084;0.14;1
0.1099;0.1204;0.1087;0.1129;1
0.1096;0.1185;0.1061;0.1104;1
0.1071;0.1133;0.1041;0.1138;1
0.1153;0.1287;0.1159;0.1052;1
0.1122;0.125;0.1115;0.1036;1
0.111;0.1234;0.1109;0.102;1
0.1107;0.123;0.1099;0.1016;1
0.1104;0.1225;0.1099;0.1012;1
0.1106;0.1226;0.1099;0.1016;1
0.1108;0.1232;0.1105;0.102;1
0.111;0.1229;0.1107;0.1022;1
0.1101;0.1209;0.1093;0.1024;1
0.1088;0.1197;0.1079;0.1014;1
0.1092;0.1192;0.1082;0.1033;1
0.1102;0.1188;0.1086;0.1048;1
0.1102;0.1201;0.1072;0.1216;1
0.1094;0.1188;0.1065;0.1101;1
0.1101;0.1199;0.1084;0.1105;1
0.1101;0.1179;0.107;0.1107;1
0.117;0.1307;0.117;0.1052;1
0.114;0.1269;0.1141;0.1037;1
0.1114;0.1247;0.1121;0.1022;1
0.1111;0.1235;0.1107;0.1017;1
0.1105;0.122;0.1098;0.1012;1
0.1103;0.1225;0.1107;0.1019;1
0.1101;0.1227;0.1108;0.1025;1
0.1109;0.1231;0.1104;0.1023;1
0.1113;0.1226;0.1108;0.102;1
0.1105;0.122;0.11;0.1018;1
0.111;0.1227;0.11;0.1029;1
0.111;0.1231;0.1098;0.1045;1
0.1101;0.1216;0.1095;0.104;1
0.1081;0.1158;0.104;0.1128;1
0.1074;0.1136;0.1026;0.1136;1
0.1169;0.1318;0.1173;0.1053;1
0.115;0.1256;0.1144;0.1039;1
0.1119;0.1255;0.114;0.1025;1
0.1115;0.1255;0.1127;0.1019;1
0.1106;0.125;0.1116;0.1013;1
0.1106;0.1223;0.1098;0.1022;1
0.1106;0.1224;0.1104;0.1031;1
0.1105;0.1238;0.1103;0.1024;1
0.1105;0.1226;0.1109;0.1016;1
0.1103;0.123;0.1105;0.1027;1
0.1108;0.1228;0.1101;0.1031;1
0.1108;0.123;0.1108;0.1038;1
0.1108;0.1223;0.1088;0.104;1
0.1107;0.122;0.1089;0.1071;1
