B04;B03;B02;feature_key
0.1372;0.1782;0.1512;1.0
0.1366;0.1791;0.153;1.0
0.1352;0.1775;0.151;1.0
0.136;0.177;0.1512;1.0
0.1385;0.1797;0.1519;1.0
0.1402;0.1803;0.1531;1.0
0.1383;0.1807;0.1532;1.0
0.1392;0.1812;0.1538;1.0
0.1364;0.1786;0.1517;1.0
0.1354;0.1761;0.1509;1.0
0.1388;0.1792;0.153;1.0
0.1398;0.1816;0.1531;1.0
0.1405;0.1817;0.1535;1.0
0.1398;0.1816;0.1541;1.0
0.1394;0.1811;0.1542;1.0
0.1372;0.1792;0.1529;1.0
0.1374;0.1782;0.1517;1.0
0.1399;0.1811;0.1543;1.0
0.1401;0.1815;0.154;1.0
0.1393;0.1807;0.1531;1.0
0.1397;0.1815;0.154;1.0
0.1394;0.1804;0.153;1.0
0.1405;0.181;0.1528;1.0
0.1417;0.1832;0.1544;1.0
0.1405;0.1813;0.1535;1.0
0.1381;0.1809;0.153;1.0
0.1397;0.1815;0.1531;1.0
0.1391;0.1798;0.1529;1.0
0.1418;0.1816;0.1538;1.0
0.1424;0.1824;0.1548;1.0
0.1401;0.1818;0.1543;1.0
0.139;0.1813;0.1529;1.0
0.1404;0.1812;0.1527;1.0
0.1396;0.1808;0.1528;1.0
0.1147;0.1206;0.1021;2.0
0.1017;0.1037;0.092;2.0
0.1112;0.1178;0.1007;2.0
0.1195;0.1269;0.1046;2.0
0.1127;0.1188;0.0951;2.0
0.1045;0.1066;0.092;2.0
0.1055;0.1093;0.0962;2.0
0.1114;0.1176;0.1014;2.0
0.1043;0.1063;0.091;2.0
0.1026;0.1045;0.0932;2.0
0.1109;0.1187;0.101;2.0
0.1033;0.1046;0.0931;2.0
0.11;0.1165;0.1006;2.0
0.1092;0.1115;0.0958;2.0
0.1104;0.1184;0.1011;2.0
0.2286;0.2072;0.1627;3.0
0.2224;0.2058;0.1603;3.0
0.2354;0.2111;0.1661;3.0
0.2307;0.2083;0.164;3.0
0.214;0.1966;0.156;3.0
0.2296;0.2081;0.1633;3.0
0.217;0.1999;0.1589;3.0
0.2201;0.204;0.1597;3.0
0.2245;0.2064;0.1622;3.0
