band,y,x,spatial_ref,y,x,class,reflectance
B04,4883670.0,339390.0,0,4883670.0,339390.0,1,0.0285
B04,4883670.0,339450.0,0,4883670.0,339450.0,1,0.0292
B04,4883670.0,339510.0,0,4883670.0,339510.0,1,0.0296
B04,4883670.0,339570.0,0,4883670.0,339570.0,1,0.0299
B04,4883670.0,339630.0,0,4883670.0,339630.0,1,0.0291
B04,4883670.0,339690.0,0,4883670.0,339690.0,1,0.0287
B04,4883670.0,339750.0,0,4883670.0,339750.0,1,0.0296
B04,4883670.0,339810.0,0,4883670.0,339810.0,1,0.0283
B04,4883670.0,339870.0,0,4883670.0,339870.0,1,0.0284
B04,4883670.0,339930.0,0,4883670.0,339930.0,1,0.0291
B04,4883670.0,339990.0,0,4883670.0,339990.0,1,0.0285
B04,4883670.0,340050.0,0,4883670.0,340050.0,1,0.0283
B04,4883610.0,339330.0,0,4883610.0,339330.0,1,0.0274
B04,4883610.0,339390.0,0,4883610.0,339390.0,1,0.0271
B04,4883610.0,339450.0,0,4883610.0,339450.0,1,0.0271
B04,4883610.0,339510.0,0,4883610.0,339510.0,1,0.0268
B04,4883610.0,339570.0,0,4883610.0,339570.0,1,0.0274
B04,4883610.0,339630.0,0,4883610.0,339630.0,1,0.0275
B04,4883610.0,339690.0,0,4883610.0,339690.0,1,0.0276
B04,4883610.0,339750.0,0,4883610.0,339750.0,1,0.0285
B04,4883610.0,339810.0,0,4883610.0,339810.0,1,0.0281
B04,4883610.0,339870.0,0,4883610.0,339870.0,1,0.0291
B04,4883610.0,339930.0,0,4883610.0,339930.0,1,0.0288
B04,4883610.0,339990.0,0,4883610.0,339990.0,1,0.0288
B04,4883610.0,340050.0,0,4883610.0,340050.0,1,0.0293
B04,4883550.0,339270.0,0,4883550.0,339270.0,1,0.0274
B04,4883550.0,339330.0,0,4883550.0,339330.0,1,0.0266
B04,4883550.0,339390.0,0,4883550.0,339390.0,1,0.027
B04,4883550.0,339450.0,0,4883550.0,339450.0,1,0.0276
B04,4883550.0,339510.0,0,4883550.0,339510.0,1,0.0281
B04,4883550.0,339570.0,0,4883550.0,339570.0,1,0.0282
B04,4883550.0,339630.0,0,4883550.0,339630.0,1,0.0283
B04,4883550.0,339690.0,0,4883550.0,339690.0,1,0.0289
B04,4883550.0,339750.0,0,4883550.0,339750.0,1,0.0299
B04,4883550.0,339810.0,0,4883550.0,339810.0,1,0.0292
B04,4883550.0,339870.0,0,4883550.0,339870.0,1,0.0298
B04,4883490.0,339210.0,0,4883490.0,339210.0,1,0.0267
B04,4883490.0,339270.0,0,4883490.0,339270.0,1,0.0272
B04,4883490.0,339330.0,0,4883490.0,339330.0,1,0.0267
B04,4883490.0,339390.0,0,4883490.0,339390.0,1,0.0263
B04,4883490.0,339450.0,0,4883490.0,339450.0,1,0.0263
B04,4883430.0,339090.0,0,4883430.0,339090.0,1,0.0257
B04,4883430.0,339150.0,0,4883430.0,339150.0,1,0.0259
B04,4883430.0,339210.0,0,4883430.0,339210.0,1,0.0255
B04,4883430.0,339270.0,0,4883430.0,339270.0,1,0.0258
B04,4883370.0,338970.0,0,4883370.0,338970.0,1,0.0259
B04,4883370.0,339030.0,0,4883370.0,339030.0,1,0.0266
B04,4883370.0,339090.0,0,4883370.0,339090.0,1,0.026
B04,4883370.0,339150.0,0,4883370.0,339150.0,1,0.0255
B04,4872270.0,312090.0,0,4872270.0,312090.0,3,0.2127
B04,4872270.0,312150.0,0,4872270.0,312150.0,3,0.2222
B04,4872270.0,312210.0,0,4872270.0,312210.0,3,0.2349
B04,4872210.0,311970.0,0,4872210.0,311970.0,3,0.215
B04,4872210.0,312030.0,0,4872210.0,312030.0,3,0.2186
B04,4872210.0,312090.0,0,4872210.0,312090.0,3,0.2137
B04,4872210.0,312150.0,0,4872210.0,312150.0,3,0.2166
B04,4872210.0,312210.0,0,4872210.0,312210.0,3,0.2123
B04,4872210.0,312270.0,0,4872210.0,312270.0,3,0.2205
B04,4872210.0,312330.0,0,4872210.0,312330.0,3,0.2246
B04,4872150.0,311970.0,0,4872150.0,311970.0,3,0.2092
B04,4872150.0,312030.0,0,4872150.0,312030.0,3,0.2067
B04,4872150.0,312090.0,0,4872150.0,312090.0,3,0.2086
B04,4872150.0,312150.0,0,4872150.0,312150.0,3,0.225
B04,4872150.0,312210.0,0,4872150.0,312210.0,3,0.207
B04,4872150.0,312270.0,0,4872150.0,312270.0,3,0.2198
B04,4872150.0,312330.0,0,4872150.0,312330.0,3,0.2197
B04,4872150.0,312390.0,0,4872150.0,312390.0,3,0.1949
B04,4872090.0,311910.0,0,4872090.0,311910.0,3,0.218
B04,4872090.0,311970.0,0,4872090.0,311970.0,3,0.2135
B04,4872090.0,312030.0,0,4872090.0,312030.0,3,0.2074
B04,4872090.0,312090.0,0,4872090.0,312090.0,3,0.2112
B04,4872090.0,312150.0,0,4872090.0,312150.0,3,0.2539
B04,4872090.0,312210.0,0,4872090.0,312210.0,3,0.2321
B04,4872090.0,312270.0,0,4872090.0,312270.0,3,0.2206
B04,4872090.0,312330.0,0,4872090.0,312330.0,3,0.2139
B04,4872090.0,312390.0,0,4872090.0,312390.0,3,0.2121
B04,4872030.0,311970.0,0,4872030.0,311970.0,3,0.219
B04,4872030.0,312030.0,0,4872030.0,312030.0,3,0.2126
B04,4872030.0,312090.0,0,4872030.0,312090.0,3,0.2141
B04,4872030.0,312150.0,0,4872030.0,312150.0,3,0.2245
B04,4872030.0,312210.0,0,4872030.0,312210.0,3,0.2205
B04,4872030.0,312270.0,0,4872030.0,312270.0,3,0.2159
B04,4872030.0,312330.0,0,4872030.0,312330.0,3,0.2158
B04,4871970.0,312090.0,0,4871970.0,312090.0,3,0.2156
B04,4871970.0,312150.0,0,4871970.0,312150.0,3,0.2038
B04,4871970.0,312210.0,0,4871970.0,312210.0,3,0.2126
B04,4871970.0,312270.0,0,4871970.0,312270.0,3,0.2212
B04,4871970.0,312330.0,0,4871970.0,312330.0,3,0.2075
B04,4871910.0,312150.0,0,4871910.0,312150.0,3,0.2064
B04,4871910.0,312210.0,0,4871910.0,312210.0,3,0.2012
B04,4871910.0,312270.0,0,4871910.0,312270.0,3,0.2121
B04,4868550.0,360930.0,0,4868550.0,360930.0,2,0.0451
B04,4868490.0,360870.0,0,4868490.0,360870.0,2,0.0478
B04,4868490.0,360930.0,0,4868490.0,360930.0,2,0.0484
B04,4868430.0,360870.0,0,4868430.0,360870.0,2,0.051
B04,4868430.0,360930.0,0,4868430.0,360930.0,2,0.0457
B04,4868430.0,360990.0,0,4868430.0,360990.0,2,0.0467
B04,4868370.0,360810.0,0,4868370.0,360810.0,2,0.0453
B04,4868370.0,360870.0,0,4868370.0,360870.0,2,0.0475
B04,4868370.0,360930.0,0,4868370.0,360930.0,2,0.0432
B04,4868370.0,360990.0,0,4868370.0,360990.0,2,0.0492
B04,4868310.0,360750.0,0,4868310.0,360750.0,2,0.0373
B04,4868310.0,360810.0,0,4868310.0,360810.0,2,0.0488
B04,4868310.0,360870.0,0,4868310.0,360870.0,2,0.0453
B04,4868310.0,360930.0,0,4868310.0,360930.0,2,0.0421
B04,4868310.0,360990.0,0,4868310.0,360990.0,2,0.0484
B04,4868250.0,360750.0,0,4868250.0,360750.0,2,0.0382
