B04,B03,B02,B8A,label
0.0906,0.162,0.1087,0.0404,1
0.0861,0.1576,0.1058,0.0373,1
0.0822,0.1558,0.1031,0.0353,1
0.0903,0.1627,0.1108,0.0453,1
0.0937,0.1666,0.115,0.0543,1
0.0884,0.1613,0.1103,0.0436,1
0.0856,0.1584,0.1074,0.042,1
0.0837,0.1541,0.1003,0.0338,1
0.1024,0.1734,0.1167,0.0481,1
0.1023,0.1728,0.1186,0.0474,1
0.0951,0.1662,0.1117,0.0392,1
0.0891,0.1607,0.1069,0.0349,1
0.0887,0.1605,0.107,0.036,1
0.0929,0.1654,0.1107,0.0434,1
0.0971,0.1696,0.1159,0.0488,1
0.0912,0.164,0.111,0.0425,1
0.0824,0.1544,0.1028,0.0365,1
0.0823,0.1516,0.097,0.0393,1
0.1001,0.1698,0.1146,0.0456,1
0.0961,0.1663,0.1114,0.039,1
0.089,0.1606,0.1063,0.0328,1
0.0931,0.1632,0.1091,0.037,1
0.0872,0.1574,0.1028,0.0327,1
0.0884,0.1585,0.1047,0.0346,1
0.0877,0.1596,0.1061,0.0368,1
0.0816,0.1529,0.1006,0.0309,1
0.0726,0.1427,0.0913,0.022,1
0.0868,0.1581,0.1036,0.0316,1
0.0864,0.1576,0.1031,0.0295,1
0.0836,0.1539,0.0992,0.0268,1
0.0799,0.1506,0.0962,0.0236,1
0.081,0.1506,0.0968,0.0253,1
0.0874,0.1563,0.1014,0.0311,1
0.0858,0.1549,0.1002,0.0302,1
0.0736,0.1437,0.0903,0.0215,1
0.079,0.1512,0.0963,0.0264,1
0.0756,0.1472,0.0924,0.0184,1
0.0747,0.1449,0.0907,0.0178,1
0.0708,0.1405,0.0878,0.0144,1
0.0744,0.1432,0.0898,0.0177,1
0.0758,0.145,0.0911,0.0191,1
0.0804,0.1484,0.0964,0.0269,1
0.0689,0.1397,0.0865,0.0157,1
0.0695,0.14,0.0863,0.0147,1
0.069,0.1376,0.0849,0.0128,1
0.067,0.135,0.0831,0.0248,1
0.0687,0.1328,0.0831,0.0397,1
0.0726,0.1346,0.0848,0.0498,1
0.0761,0.1217,0.0773,0.1223,1
0.1963,0.14,0.0958,0.3097,3
0.214,0.1525,0.1028,0.3319,3
0.2174,0.1539,0.1037,0.3368,3
0.2374,0.1661,0.1138,0.3719,3
0.2327,0.1637,0.1144,0.3593,3
0.2146,0.1542,0.1052,0.3367,3
0.2596,0.177,0.1231,0.4073,3
0.2687,0.185,0.1302,0.4108,3
0.2866,0.1956,0.1378,0.4345,3
0.2289,0.1507,0.1042,0.3785,3
0.2331,0.1545,0.1068,0.3702,3
0.2324,0.1616,0.1113,0.3628,3
0.2193,0.1529,0.1055,0.3394,3
0.2345,0.1578,0.11,0.3626,3
0.2338,0.1592,0.1114,0.3956,3
0.2239,0.1508,0.1068,0.3583,3
0.2422,0.1666,0.1175,0.3742,3
0.2385,0.1681,0.1166,0.3609,3
0.2158,0.1483,0.1019,0.3397,3
0.218,0.1448,0.1003,0.3443,3
0.1166,0.097,0.0616,0.4393,3
0.1893,0.1472,0.0951,0.4391,3
0.2646,0.1797,0.1242,0.4333,3
0.2634,0.186,0.1303,0.4014,3
0.2391,0.1714,0.1192,0.3583,3
0.2115,0.1445,0.1002,0.3333,3
0.2408,0.1607,0.1145,0.374,3
0.2448,0.1628,0.1133,0.3949,3
0.2082,0.1386,0.0952,0.3681,3
0.2263,0.1499,0.102,0.3733,3
0.1686,0.1283,0.0812,0.4001,3
0.2536,0.1741,0.1209,0.3946,3
0.2051,0.1438,0.0994,0.3219,3
0.2149,0.145,0.1029,0.3343,3
0.18,0.1325,0.0865,0.4176,3
0.2669,0.1805,0.1247,0.4415,3
0.2304,0.1533,0.1064,0.378,3
0.2235,0.149,0.101,0.385,3
0.2136,0.1396,0.096,0.3518,3
0.2093,0.1427,0.0958,0.3746,3
0.1675,0.1302,0.082,0.4108,3
0.2498,0.1695,0.1187,0.3991,3
0.2482,0.1684,0.1195,0.382,3
0.2104,0.1455,0.0995,0.3828,3
0.1364,0.114,0.0755,0.3835,3
0.2121,0.155,0.1048,0.4199,3
0.226,0.1543,0.1078,0.3837,3
0.2449,0.1608,0.1115,0.3916,3
0.2133,0.1383,0.0946,0.3497,3
0.2113,0.138,0.0945,0.3489,3
0.1945,0.1477,0.098,0.4149,3
0.2031,0.1522,0.1012,0.4234,3
0.1869,0.1384,0.089,0.4273,3
0.1971,0.1323,0.091,0.3431,3
0.2004,0.133,0.0925,0.341,3
0.1992,0.1344,0.0943,0.3297,3
0.2069,0.1427,0.0993,0.3496,3
0.2112,0.1495,0.1029,0.3791,3
0.2312,0.1591,0.1092,0.3815,3
0.2283,0.1508,0.1041,0.3644,3
0.231,0.1505,0.1036,0.3737,3
0.1932,0.1458,0.0991,0.3907,3
0.2517,0.1669,0.1154,0.3982,3
0.2472,0.1632,0.1125,0.3934,3
0.1992,0.1338,0.0912,0.3484,3
0.1955,0.1324,0.0907,0.3393,3
0.1892,0.1302,0.0902,0.3264,3
0.2051,0.1384,0.0961,0.3359,3
0.1911,0.1302,0.0904,0.3193,3
0.1919,0.1309,0.0907,0.3198,3
0.1949,0.1334,0.0905,0.3376,3
0.1937,0.1406,0.0951,0.3655,3
0.1889,0.1407,0.0939,0.3831,3
0.1974,0.1511,0.0984,0.429,3
0.2298,0.1542,0.1071,0.3759,3
0.2254,0.1497,0.1034,0.3676,3
0.1743,0.1239,0.0829,0.3213,3
0.1797,0.1246,0.0851,0.3215,3
0.1977,0.1353,0.0935,0.3333,3
0.1885,0.1302,0.0899,0.3195,3
0.1931,0.1323,0.0925,0.3174,3
0.1862,0.1273,0.0889,0.3194,3
0.1663,0.1232,0.0833,0.3451,3
0.1112,0.1018,0.0617,0.3941,3
0.1876,0.1474,0.0968,0.4122,3
0.2155,0.148,0.1016,0.376,3
0.2247,0.1533,0.1071,0.3655,3
0.1807,0.1261,0.086,0.3198,3
0.1815,0.1267,0.0872,0.3219,3
0.1924,0.1325,0.0922,0.3264,3
0.1833,0.1253,0.0876,0.3125,3
0.1596,0.1074,0.0757,0.2728,3
0.1493,0.1032,0.0714,0.2681,3
0.1607,0.1104,0.0768,0.285,3
0.1795,0.132,0.0901,0.362,3
0.1562,0.1241,0.0791,0.3976,3
0.2348,0.1613,0.1138,0.3741,3
0.1701,0.1224,0.0841,0.3165,3
0.1976,0.1369,0.0963,0.3433,3
0.1795,0.1217,0.085,0.3045,3
0.1583,0.1066,0.0751,0.2641,3
0.1675,0.1107,0.0778,0.2766,3
0.1528,0.1046,0.0731,0.2607,3
0.1494,0.1051,0.0736,0.2648,3
0.1823,0.1236,0.0881,0.2995,3
0.1889,0.1362,0.0922,0.3632,3
0.1946,0.1441,0.0954,0.3995,3
0.1689,0.115,0.081,0.292,3
0.1587,0.106,0.0746,0.2701,3
0.1607,0.1089,0.0768,0.2728,3
0.1596,0.1077,0.0756,0.2715,3
0.1614,0.1118,0.0793,0.2742,3
0.1619,0.1104,0.0776,0.2812,3
0.1712,0.1151,0.0808,0.2858,3
0.1917,0.1266,0.0888,0.3148,3
